[ 2014-03-06T18:12:01+08:00 ] /index.php?mod=skuStock&act=searchSku | ERR: [2] filemtime(): stat failed for E:/erpNew/wh.valsun.cn/smarty/templates_c\c1bfa5a5e8f14cad8f28c29287307ac4a76064ae.file.searchSku.htm.php smarty_resource.php 第 720 行.
[ 2014-03-06T19:18:45+08:00 ] /index.php?mod=dispatchBillQuery&act=showForm&storeId=1 | ERR: [2] unlink(E:/erpNew/wh.valsun.cn/smarty/templates_c\4a0f4fe350a1709ac1dbfb09719308086c680141.file.goodsoutnav.htm.php): No such file or directory smarty_internal_write_file.php 第 57 行.
[ 2014-03-06T19:18:52+08:00 ] /index.php?mod=skuWeighing&act=skuWeighing | ERR: [2] filemtime(): stat failed for E:/erpNew/wh.valsun.cn/smarty/templates_c\8db09670e8d401bef41c527b746b8a434c2dc639.file.skuWeighing.htm.php smarty_resource.php 第 720 行.
[ 2014-03-06T19:18:52+08:00 ] /index.php?mod=skuWeighing&act=skuWeighing | ERR: [2] unlink(E:/erpNew/wh.valsun.cn/smarty/templates_c\8db09670e8d401bef41c527b746b8a434c2dc639.file.skuWeighing.htm.php): No such file or directory smarty_internal_write_file.php 第 57 行.
[ 2014-03-06T19:26:22+08:00 ] /index.php?act=packageCheck&mod=packageCheck | ERR: [2] filemtime(): stat failed for E:/erpNew/wh.valsun.cn/smarty/templates_c\a026c4167bbbd46a51a89e3e3efd28706613de0d.file.packageCheck.htm.php smarty_resource.php 第 720 行.
[ 2014-03-06T19:26:22+08:00 ] /index.php?act=packageCheck&mod=packageCheck | ERR: [2] unlink(E:/erpNew/wh.valsun.cn/smarty/templates_c\a026c4167bbbd46a51a89e3e3efd28706613de0d.file.packageCheck.htm.php): No such file or directory smarty_internal_write_file.php 第 57 行.
[ 2014-03-06T19:26:34+08:00 ] /index.php?mod=GetGoods&act=GetGoodsScanPageEX | ERR: [2] filemtime(): stat failed for E:/erpNew/wh.valsun.cn/smarty/templates_c\4b8948ab8d1205da5ac62765363e18cb2095f629.file.getgoodsscan.htm.php smarty_resource.php 第 720 行.
[ 2014-03-06T19:26:34+08:00 ] /index.php?mod=GetGoods&act=GetGoodsScanPageEX | ERR: [2] unlink(E:/erpNew/wh.valsun.cn/smarty/templates_c\4b8948ab8d1205da5ac62765363e18cb2095f629.file.getgoodsscan.htm.php): No such file or directory smarty_internal_write_file.php 第 57 行.
[ 2014-03-06T19:26:49+08:00 ] /index.php?mod=warehouseManagement&act=whStore | ERR: [2] filemtime(): stat failed for E:/erpNew/wh.valsun.cn/smarty/templates_c\1b058fba6d403a8c1654f4641371f3ae721f5afc.file.whStoreList.htm.php smarty_resource.php 第 720 行.
[ 2014-03-06T19:26:49+08:00 ] /index.php?mod=warehouseManagement&act=whStore | ERR: [2] unlink(E:/erpNew/wh.valsun.cn/smarty/templates_c\1b058fba6d403a8c1654f4641371f3ae721f5afc.file.whStoreList.htm.php): No such file or directory smarty_internal_write_file.php 第 57 行.
[ 2014-03-06T19:26:49+08:00 ] /index.php?mod=warehouseManagement&act=whStore | ERR: [2] filemtime(): stat failed for E:/erpNew/wh.valsun.cn/smarty/templates_c\33a99bdd6ff225af638ca0d704410ffac0367076.file.warehouseSubnav.htm.php smarty_resource.php 第 720 行.
[ 2014-03-06T19:26:49+08:00 ] /index.php?mod=warehouseManagement&act=whStore | ERR: [2] unlink(E:/erpNew/wh.valsun.cn/smarty/templates_c\33a99bdd6ff225af638ca0d704410ffac0367076.file.warehouseSubnav.htm.php): No such file or directory smarty_internal_write_file.php 第 57 行.
[ 2014-03-06T19:26:52+08:00 ] /index.php?mod=whIoStore&act=getWhOutStoreList | ERR: [2] filemtime(): stat failed for E:/erpNew/wh.valsun.cn/smarty/templates_c\481e65400b4814d02b2f8d80402e34ac1bd616b7.file.whIoStore.htm.php smarty_resource.php 第 720 行.
[ 2014-03-06T19:26:52+08:00 ] /index.php?mod=whIoStore&act=getWhOutStoreList | ERR: [2] unlink(E:/erpNew/wh.valsun.cn/smarty/templates_c\481e65400b4814d02b2f8d80402e34ac1bd616b7.file.whIoStore.htm.php): No such file or directory smarty_internal_write_file.php 第 57 行.
[ 2014-03-06T19:50:30+08:00 ] /index.php?mod=dispatchBillScan&act=inputForm | ERR: [2] filemtime(): stat failed for E:/erpNew/wh.valsun.cn/smarty/templates_c\922cd1a07a4e742314ae9571e1178f2edcb876c4.file.dispatchbillscan.htm.php smarty_resource.php 第 720 行.
[ 2014-03-06T19:50:30+08:00 ] /index.php?mod=dispatchBillScan&act=inputForm | ERR: [2] unlink(E:/erpNew/wh.valsun.cn/smarty/templates_c\922cd1a07a4e742314ae9571e1178f2edcb876c4.file.dispatchbillscan.htm.php): No such file or directory smarty_internal_write_file.php 第 57 行.
[ 2014-03-06T19:55:44+08:00 ] /json.php?act=getImgBySku&mod=common&jsonp=1 | ERR: [2] Illegal string offset 'imgUrl' common.model.php 第 971 行.
[ 2014-03-06T19:55:51+08:00 ] /json.php?act=getImgBySku&mod=common&jsonp=1 | ERR: [2] Illegal string offset 'imgUrl' common.model.php 第 971 行.
[ 2014-03-06T19:55:52+08:00 ] /json.php?act=getImgBySku&mod=common&jsonp=1 | ERR: [2] Illegal string offset 'imgUrl' common.model.php 第 971 行.
[ 2014-03-06T19:55:54+08:00 ] /json.php?act=getImgBySku&mod=common&jsonp=1 | ERR: [2] Illegal string offset 'imgUrl' common.model.php 第 971 行.
[ 2014-03-06T19:56:02+08:00 ] /json.php?act=getImgBySku&mod=common&jsonp=1 | ERR: [2] Illegal string offset 'imgUrl' common.model.php 第 971 行.
[ 2014-03-06T20:04:15+08:00 ] /json.php?act=getImgBySku&mod=common&jsonp=1 | ERR: [2] Illegal string offset 'imgUrl' common.model.php 第 971 行.
[ 2014-03-06T21:20:42+08:00 ] /json.php?mod=dispatchBillScan&act=changeOutOfStockToDispathBill&jsonp=1 | ERR: message : MySQL Query Error, sql: select orderStatus from wh_shipping_order  id='sadfasdf' 

